nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.13475221,0.40412205,0.2146602,0.40002865,0.22075316,0.49575227,0.37338576,0.3670923,0.35863012,0.40585324,0.36909375,0.24794129,0.40347177,0.2926072,0.50831497,0.48188457,0.5023171,0.56159157,0.63380367,0.2844202,0.71073884,0.64092886,0.86741936,0.19719204,0.8845889,0.78923106,backhand-volley
0.13662988,0.4050554,0.21538556,0.39720702,0.2192608,0.48934886,0.39007938,0.3604178,0.37208793,0.42743146,0.37787864,0.23870927,0.41631633,0.27967012,0.50927746,0.47890973,0.50030637,0.55655396,0.6377894,0.28771132,0.7156385,0.6471274,0.87005913,0.20329581,0.8888382,0.7974347,backhand-volley
0.13804954,0.393636,0.21637726,0.39388245,0.22738421,0.4781327,0.37915772,0.3507732,0.371517,0.40331632,0.37828633,0.2247824,0.41887593,0.2596898,0.5058775,0.4775505,0.50010407,0.5496561,0.6399674,0.27735567,0.7168741,0.6378443,0.8693272,0.19589983,0.8918004,0.7998449,backhand-volley
0.13638929,0.37303004,0.2116741,0.38107514,0.21489373,0.46737885,0.3828706,0.33431816,0.36563516,0.4471839,0.4070742,0.2040352,0.44695276,0.40392745,0.49993008,0.4651601,0.49523824,0.543898,0.6374037,0.25989375,0.71225524,0.6359588,0.868762,0.19151613,0.883144,0.8090881,backhand-volley
0.13468511,0.36210126,0.20782575,0.37396383,0.21447352,0.45160028,0.37807545,0.31743369,0.36758786,0.41771364,0.38615012,0.18672219,0.45183134,0.4031484,0.49960825,0.45317644,0.49361932,0.528059,0.62952876,0.25416362,0.7127177,0.6274898,0.8658337,0.18912135,0.8847194,0.8140539,backhand-volley
0.13762967,0.35114264,0.21381204,0.36509693,0.21763644,0.44072634,0.38184315,0.29372963,0.3716669,0.42936915,0.39786768,0.16052073,0.4737744,0.39005935,0.5049881,0.442477,0.5012642,0.51765597,0.6328223,0.24378201,0.7296688,0.6255357,0.87240267,0.1884521,0.89130163,0.8177733,backhand-volley
0.14274877,0.34316826,0.21288358,0.37142453,0.2176156,0.43870494,0.37777138,0.29493624,0.3773815,0.42757365,0.4035114,0.16633615,0.47215423,0.38673735,0.4996564,0.44634065,0.4971442,0.51668274,0.6254679,0.24573556,0.720402,0.62468517,0.8695409,0.20235568,0.8828759,0.82787025,backhand-volley
0.13039377,0.33878827,0.20457572,0.36349547,0.21119818,0.43490523,0.37046036,0.28649426,0.37153563,0.43097872,0.41541344,0.1558946,0.47439963,0.37686965,0.49830395,0.4435786,0.49507326,0.50943744,0.62880933,0.23538992,0.72802377,0.6264045,0.87321687,0.20563507,0.8843095,0.83437335,backhand-volley
0.12750149,0.32054114,0.20772669,0.3528145,0.21009783,0.4231944,0.37411028,0.2875858,0.3734027,0.3988095,0.4257844,0.1603841,0.4232666,0.19752583,0.4989336,0.43770596,0.4962377,0.5056698,0.6227502,0.23261979,0.728156,0.6256127,0.8698299,0.20831345,0.87957495,0.8302356,backhand-volley
0.14291999,0.2946242,0.20553476,0.3537278,0.21836504,0.41917846,0.37531245,0.27655536,0.39718744,0.3626948,0.44945824,0.148129,0.4478234,0.18775259,0.50200444,0.44143674,0.5009389,0.50307083,0.6263609,0.23023126,0.73360157,0.61575747,0.8788732,0.21423256,0.88957834,0.8293132,backhand-volley
