nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.13782614,0.59148544,0.20147505,0.4780365,0.26589635,0.6151463,0.33552822,0.48854634,0.41326365,0.6493033,0.34411955,0.61394197,0.43763274,0.7654585,0.4909395,0.42124963,0.50774324,0.53445673,0.6880016,0.35450798,0.69150823,0.66549045,0.8449325,0.18680698,0.8835048,0.79413736,forehand-volley
0.14193843,0.6111035,0.20570353,0.47698325,0.27001214,0.6129758,0.33963177,0.50063324,0.4136053,0.66257465,0.34669435,0.625625,0.43201214,0.78909016,0.4873895,0.41338548,0.4990792,0.51994324,0.69904536,0.34939334,0.69662535,0.6604066,0.8540702,0.18490317,0.8836948,0.7965987,forehand-volley
0.1319555,0.6195299,0.19579434,0.48199373,0.2628208,0.60951066,0.34055543,0.49628577,0.4180126,0.6671499,0.35004947,0.6372986,0.43730193,0.80267787,0.48487568,0.40546477,0.49622345,0.51003146,0.69890636,0.34549713,0.6965525,0.6573883,0.8635556,0.18399417,0.8873087,0.8089532,forehand-volley
0.13471536,0.61949086,0.19554588,0.48285705,0.27128214,0.60768723,0.3399428,0.48632812,0.42558992,0.66609806,0.339385,0.6117209,0.4358692,0.8039767,0.48479414,0.39991015,0.4982241,0.5021768,0.7030113,0.33860406,0.70555556,0.6493503,0.8727515,0.18759692,0.8923588,0.79087305,forehand-volley
0.13662446,0.61952126,0.19605641,0.48337233,0.2741672,0.60374653,0.33445722,0.48071235,0.42721575,0.6620422,0.33207294,0.60380334,0.4356321,0.8060812,0.48350152,0.39066526,0.4961098,0.48955497,0.6989333,0.33961272,0.6984284,0.63941646,0.86611307,0.1971634,0.89934444,0.776042,forehand-volley
0.1363743,0.61950904,0.19596246,0.48004588,0.27228397,0.58887696,0.341381,0.48972368,0.42033848,0.65089977,0.36969563,0.6175165,0.43029496,0.7873416,0.48045272,0.37666672,0.49267706,0.46656853,0.69259256,0.33416516,0.6885182,0.6319577,0.8473608,0.20118742,0.884524,0.7542443,forehand-volley
0.14875227,0.6071531,0.19669396,0.482351,0.2834533,0.5925901,0.32782435,0.4760726,0.43217215,0.6518051,0.34522733,0.58786285,0.44232994,0.7973909,0.48620963,0.35887516,0.5006413,0.45562682,0.6944954,0.3397169,0.6909536,0.6194312,0.8529808,0.21002397,0.88677025,0.7488992,forehand-volley
0.13524535,0.60721684,0.18847051,0.47043693,0.2800807,0.59507537,0.32223976,0.43536696,0.42722553,0.64494514,0.3435573,0.56231654,0.4401642,0.795733,0.47771186,0.35817677,0.49340758,0.45034382,0.6892745,0.3303584,0.69544303,0.61714274,0.8587725,0.19592677,0.89149415,0.7299508,forehand-volley
0.13814946,0.6130971,0.18845634,0.46895725,0.2787849,0.5882509,0.32108384,0.42958254,0.4255285,0.6418733,0.34350514,0.5423025,0.43897912,0.79262877,0.4713287,0.34748632,0.48804343,0.44071835,0.67668366,0.33656222,0.6779551,0.5985105,0.8508322,0.20384803,0.88786215,0.7088617,forehand-volley
0.14090085,0.6135111,0.18090549,0.4636194,0.27993438,0.5883793,0.31241262,0.42404544,0.42508852,0.6381203,0.32306537,0.55299014,0.4368065,0.7930376,0.46091217,0.34070843,0.47782812,0.43299696,0.6676955,0.33971715,0.6759198,0.5908809,0.84921026,0.20821762,0.8844602,0.6960172,forehand-volley
