nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.13368459,0.48184425,0.24367017,0.39389083,0.24667722,0.5913111,0.38600954,0.37196362,0.39697015,0.6323571,0.45544836,0.43070945,0.4572152,0.5666477,0.50502694,0.43921816,0.50247425,0.5644013,0.67947805,0.34096944,0.70111597,0.659304,0.86142105,0.28743988,0.8918053,0.71792525,neutral
0.13232309,0.48643872,0.23742901,0.39242345,0.24053995,0.5924452,0.38833424,0.37322372,0.3896768,0.62722933,0.42587015,0.45328677,0.4254843,0.56192183,0.500883,0.43958598,0.50004,0.5715966,0.674973,0.34180498,0.69674337,0.66303146,0.8455695,0.28724456,0.8852057,0.70900154,neutral
0.13449499,0.5012063,0.24131122,0.40345377,0.24516784,0.6057197,0.39277333,0.3889912,0.3980479,0.62764096,0.43356937,0.45870435,0.44549626,0.58216095,0.5067531,0.44070405,0.5073942,0.5754224,0.6718654,0.36237442,0.69650716,0.6768725,0.8474559,0.29674175,0.8879541,0.7170625,neutral
0.12680829,0.5029955,0.2344361,0.39907455,0.23785058,0.60474056,0.3883261,0.38253468,0.38988325,0.6247945,0.40209407,0.4800002,0.42487058,0.56579465,0.50383997,0.44238448,0.50340915,0.57278585,0.668103,0.36105132,0.6892426,0.6768638,0.84422797,0.28989267,0.88348484,0.7082953,neutral
0.122949444,0.5083481,0.2300477,0.39916274,0.22856936,0.61272955,0.3857168,0.39185724,0.38515157,0.62669516,0.40263426,0.45938766,0.44673595,0.57823956,0.4972691,0.44158232,0.49580035,0.5742408,0.66888756,0.36210322,0.6892191,0.6815733,0.8455553,0.29024875,0.8852918,0.7111873,neutral
0.12264541,0.5143382,0.22731392,0.40405986,0.22991602,0.6133431,0.38410938,0.39679465,0.38520715,0.63136244,0.40599984,0.46994388,0.44883358,0.57789665,0.49509013,0.44411942,0.49607092,0.5807196,0.6620705,0.3654167,0.6695821,0.68004984,0.8432834,0.2958828,0.8733171,0.71983314,neutral
0.13076644,0.5113741,0.23879308,0.40850836,0.23897652,0.6128018,0.38797733,0.3967952,0.38973638,0.6262616,0.43257535,0.4788617,0.45984238,0.5805431,0.49879405,0.44224924,0.4973545,0.5737097,0.6723816,0.36353046,0.6785002,0.68246406,0.85828614,0.2842862,0.89050114,0.7180605,neutral
0.1281821,0.51636577,0.23456684,0.4112333,0.23681866,0.61549026,0.38647622,0.39961553,0.38915405,0.634724,0.46361798,0.4954971,0.47877252,0.5948031,0.49654767,0.44361,0.4953212,0.57398325,0.6712917,0.3643695,0.6779336,0.690858,0.85243654,0.2863483,0.8852231,0.7254517,neutral
0.12775926,0.5157988,0.22905082,0.40649563,0.23124823,0.61378646,0.37991127,0.40151274,0.38501403,0.63528335,0.4613709,0.49308974,0.4721765,0.59405196,0.48696023,0.44021517,0.48573852,0.5680069,0.6612954,0.36023718,0.6588916,0.68994415,0.84888554,0.27965564,0.87362206,0.7216231,neutral
0.13280457,0.52053034,0.232265,0.41486144,0.23853885,0.6184644,0.39143032,0.406209,0.38730484,0.6388529,0.47971487,0.4551011,0.4874167,0.60011995,0.4924025,0.44449553,0.48782086,0.5690125,0.67053163,0.36220714,0.6666527,0.6960976,0.8615872,0.28052318,0.8816167,0.72993183,neutral
0.1372258,0.52245796,0.2354432,0.41413647,0.24267463,0.6221689,0.39787337,0.4096733,0.39101213,0.64062583,0.4934097,0.4360977,0.49651402,0.6010895,0.4909391,0.44184864,0.48743686,0.56828415,0.6728904,0.36005196,0.6693531,0.6987431,0.8702643,0.27658084,0.8831525,0.73286355,neutral
0.14011532,0.5241546,0.23631261,0.41451308,0.24750996,0.62509644,0.39698765,0.40681475,0.40112966,0.6397797,0.4866733,0.44426817,0.4939301,0.60581106,0.4906679,0.43953878,0.48730654,0.5699294,0.67619795,0.35482502,0.6696913,0.6954474,0.8701045,0.28021297,0.8860668,0.7377372,neutral
0.13446727,0.5213478,0.23698193,0.41066647,0.2456532,0.6229567,0.38669813,0.39849508,0.40177867,0.6342471,0.4811123,0.43576524,0.48774135,0.5991647,0.49023935,0.43379974,0.48912525,0.5659839,0.67448723,0.35034293,0.6758946,0.6863277,0.87608397,0.27307802,0.8905281,0.7365947,neutral
0.13630743,0.5220771,0.23806721,0.41234976,0.24724948,0.6229304,0.38635832,0.3997736,0.39979511,0.6350812,0.481143,0.45145798,0.48532316,0.6003635,0.4915967,0.4344558,0.48822844,0.56577367,0.6746988,0.35088038,0.6770365,0.68596214,0.87224674,0.27487016,0.8939521,0.73812246,neutral
0.13806213,0.5212407,0.23873329,0.41009682,0.2476716,0.6168813,0.39086315,0.39901084,0.40091753,0.6302521,0.48052275,0.43179724,0.48932356,0.59915924,0.4944191,0.43287405,0.49434385,0.56293577,0.67411894,0.34938797,0.6800749,0.6765656,0.86967146,0.27130938,0.88782847,0.736294,neutral
