nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.14215684,0.4458049,0.18774788,0.48182672,0.2045897,0.56181544,0.3299349,0.42065316,0.3300096,0.48332405,0.26994684,0.318376,0.2733804,0.36225826,0.48541924,0.5360799,0.48104292,0.601331,0.6479392,0.4003532,0.64187634,0.5484563,0.8906283,0.3841648,0.83928776,0.66017944,backhand-volley
0.14196806,0.46433124,0.18308857,0.5050418,0.19507644,0.5727608,0.32592565,0.4470166,0.3321007,0.5041007,0.2739327,0.3411748,0.2801324,0.36429164,0.48265135,0.55553484,0.4802621,0.6224906,0.6495897,0.4159426,0.6458888,0.57896924,0.88088465,0.39194018,0.8416507,0.6658697,backhand-volley
0.13837215,0.4690157,0.18037617,0.5072193,0.19020067,0.56305575,0.32216126,0.44401586,0.3301612,0.50490505,0.27847272,0.32984728,0.27808946,0.35946852,0.4758991,0.56578946,0.47609884,0.62441885,0.64908814,0.4172134,0.6488243,0.57953805,0.8829815,0.3898644,0.84374857,0.6674158,backhand-volley
0.14760238,0.46666402,0.18227576,0.5187439,0.19008575,0.5639065,0.32046068,0.44703937,0.31884176,0.50290775,0.2752353,0.3388309,0.27874613,0.36482927,0.48137066,0.578239,0.4793193,0.6400509,0.65361446,0.42397124,0.65319186,0.5828543,0.89077115,0.38904697,0.8361172,0.6747588,backhand-volley
0.14292192,0.46456766,0.17924486,0.50971603,0.18478696,0.5640235,0.30770355,0.44024915,0.317971,0.53614116,0.27579555,0.32219353,0.27600023,0.35954064,0.4761299,0.5756701,0.4737372,0.6399361,0.6511438,0.42298016,0.64669997,0.583464,0.8790843,0.38163242,0.8312618,0.67275417,backhand-volley
0.14536856,0.47429174,0.1820777,0.5176866,0.18729857,0.5674393,0.31169155,0.44396126,0.32003468,0.5293033,0.27029696,0.32163644,0.28559685,0.33717677,0.4767172,0.59395504,0.4759233,0.6480614,0.65137106,0.44080433,0.6472393,0.5933365,0.88802713,0.38966414,0.8410813,0.6877057,backhand-volley
0.1434706,0.48110038,0.18731259,0.51824534,0.1899381,0.5678335,0.31098685,0.4437097,0.3185721,0.532012,0.26958483,0.31757686,0.28197572,0.33307406,0.47866845,0.59772027,0.47632724,0.6527516,0.65287465,0.4483394,0.64154756,0.60023654,0.88216376,0.38915312,0.8366858,0.68263215,backhand-volley
0.14541978,0.4820641,0.184728,0.52208686,0.190213,0.5790587,0.31741875,0.44278252,0.31888568,0.56148213,0.2810793,0.31207925,0.27067912,0.46732372,0.48070985,0.602259,0.47585344,0.66704595,0.6569027,0.4557528,0.6476265,0.6129844,0.89346075,0.39074665,0.8429174,0.6896012,backhand-volley
0.13922913,0.48368472,0.18690926,0.522117,0.18927315,0.5794202,0.31456998,0.4403523,0.3135739,0.53427136,0.27308482,0.31325215,0.27575836,0.33506176,0.47452074,0.6089276,0.46982238,0.66903937,0.65449905,0.46270797,0.64627147,0.6190634,0.8881421,0.3885951,0.8419532,0.6915232,backhand-volley
0.14269897,0.49265122,0.19177747,0.5204384,0.19302121,0.5872438,0.31836492,0.45007712,0.31733003,0.56507224,0.28259665,0.31335413,0.29812962,0.5223515,0.47514522,0.6134279,0.46762645,0.6817193,0.65420616,0.4709917,0.6465999,0.61579096,0.8879653,0.39101744,0.84358734,0.69375724,backhand-volley
