nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.14538626,0.66306686,0.19720659,0.51429784,0.23743539,0.67508876,0.33868098,0.5193299,0.40261835,0.6584141,0.43181592,0.56237304,0.5220864,0.74463964,0.48035893,0.45286533,0.49130464,0.569859,0.6902622,0.38135988,0.63416636,0.71853936,0.87597096,0.2815137,0.88731515,0.70995355,forehand-volley
0.14240967,0.66968983,0.19228494,0.5186087,0.2347191,0.67689943,0.34185869,0.5335337,0.40302774,0.66664743,0.44107014,0.5795597,0.53771436,0.7562167,0.4801098,0.45262623,0.49276802,0.5686278,0.69740033,0.3780713,0.6342001,0.71806514,0.87727946,0.26832366,0.89084405,0.7057623,forehand-volley
0.13979433,0.66325885,0.18765801,0.5222134,0.23241466,0.6808967,0.34286448,0.5277493,0.40590137,0.67209977,0.4148351,0.56646764,0.53894925,0.75684035,0.47887886,0.45666903,0.4914887,0.5701524,0.69165146,0.38110542,0.63314784,0.7221433,0.86832994,0.25697982,0.88508344,0.6952678,forehand-volley
0.14465939,0.68770236,0.18379915,0.53248584,0.22502589,0.680449,0.3320855,0.5173309,0.3929075,0.6754117,0.4394868,0.5762207,0.49984568,0.70585203,0.47207403,0.4652513,0.48583,0.57356155,0.6837339,0.39013812,0.64019775,0.71917796,0.85604495,0.2517838,0.88791,0.68990415,forehand-volley
0.14543214,0.7220897,0.19189978,0.5587208,0.23447001,0.7154139,0.34636545,0.54715645,0.40912515,0.7065768,0.47148317,0.579932,0.5161675,0.7455849,0.47376466,0.49311298,0.48705167,0.6072892,0.6870042,0.4224648,0.6485932,0.7464484,0.8475013,0.26699358,0.88946986,0.707816,forehand-volley
0.14964575,0.7262427,0.18880635,0.5680277,0.23196599,0.718548,0.34515104,0.55715543,0.40938544,0.7094712,0.4727876,0.585432,0.5302334,0.7491078,0.47521693,0.4992244,0.48835072,0.6075578,0.6851229,0.42975688,0.65052456,0.74022806,0.8317928,0.27042222,0.888296,0.6971116,forehand-volley
0.12819701,0.7214393,0.18454131,0.5755132,0.22945341,0.7212939,0.3450386,0.5619768,0.40759587,0.70782137,0.4817974,0.59340596,0.5336944,0.74509233,0.47323138,0.5023654,0.4873974,0.60704184,0.67867774,0.4454844,0.6509951,0.74109936,0.8171203,0.2745002,0.8863966,0.69418395,forehand-volley
0.15057513,0.71959305,0.1925839,0.57736284,0.234539,0.7237028,0.3599702,0.57160795,0.41174313,0.7058217,0.5083652,0.6009859,0.53785384,0.7309277,0.4777778,0.5058473,0.49199557,0.6101257,0.6819157,0.44766927,0.6513155,0.73127264,0.8068911,0.28215256,0.88893247,0.6792084,forehand-volley
0.12945437,0.7237611,0.18709812,0.57845503,0.22517616,0.72454715,0.34599,0.57411915,0.40601057,0.7039634,0.4937238,0.6339232,0.5368638,0.726233,0.4683891,0.51520336,0.4850524,0.6190603,0.6763414,0.45316917,0.6532452,0.72560596,0.7923872,0.29001153,0.8866677,0.675553,forehand-volley
0.12777026,0.71669626,0.18938914,0.57325983,0.22673795,0.71760696,0.34630328,0.57333434,0.3979163,0.6922996,0.4943137,0.6093621,0.5261012,0.7152027,0.4667495,0.51514316,0.48100603,0.6254121,0.66909146,0.4561679,0.6520399,0.70696014,0.7877724,0.2953685,0.88666886,0.66074926,forehand-volley
