nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.15106012,0.4905737,0.16736875,0.5534515,0.17700115,0.37946996,0.29940087,0.623102,0.23606706,0.28444457,0.3941359,0.71051085,0.19351046,0.34410542,0.45862886,0.5226649,0.45255563,0.42129704,0.6770086,0.54080933,0.65868926,0.4878797,0.86791146,0.4756151,0.88445586,0.48009926,neutral
0.15289932,0.48753414,0.17048584,0.55957043,0.17899817,0.37898636,0.29051417,0.6297633,0.2535235,0.2841702,0.3787306,0.7135564,0.21325253,0.28950596,0.46204275,0.525753,0.45758307,0.42538553,0.67901343,0.5405533,0.6647376,0.48428863,0.87090147,0.4859808,0.8941041,0.46614033,neutral
0.15721083,0.48350513,0.17204759,0.55788255,0.18577807,0.37818104,0.2904063,0.6383077,0.26011193,0.2822108,0.37100494,0.723856,0.20180088,0.2995578,0.4623942,0.52273947,0.45691663,0.42468822,0.6772132,0.53569794,0.6659288,0.46683848,0.8754662,0.48876488,0.8900842,0.44935748,neutral
0.16286454,0.48542947,0.17753576,0.5576401,0.1938034,0.37926847,0.2889256,0.6381079,0.26610434,0.2815105,0.36640665,0.71998847,0.16854396,0.2973903,0.46246648,0.51950985,0.45789108,0.4227985,0.6743824,0.52870584,0.6669656,0.4600563,0.8668561,0.48408806,0.8935542,0.43796557,neutral
0.1598309,0.48229405,0.17645076,0.5596228,0.190895,0.38016987,0.28394854,0.6453142,0.27214843,0.2772237,0.35304773,0.7283327,0.18643335,0.29563552,0.4606286,0.524797,0.45579678,0.42567894,0.67055833,0.5238766,0.6647973,0.44811732,0.86504954,0.4868685,0.8882829,0.43165874,neutral
0.15873352,0.4796285,0.18043981,0.55993426,0.19171947,0.37968272,0.2747292,0.6447631,0.27699625,0.28321987,0.33755434,0.727219,0.19189094,0.30348545,0.46190274,0.5201471,0.45868012,0.42585808,0.6728727,0.5159435,0.66891193,0.4389667,0.8654675,0.48539156,0.88625526,0.42423004,neutral
0.16523993,0.47201568,0.17724222,0.55315125,0.19143067,0.37439796,0.2723005,0.64272755,0.28465772,0.26730883,0.32947928,0.73072165,0.20214075,0.3119973,0.46672636,0.5132671,0.46326166,0.42002782,0.6769816,0.50922287,0.67633593,0.42687172,0.8653471,0.4816007,0.89385617,0.41316435,neutral
0.16841054,0.46968207,0.1783244,0.5543499,0.19399086,0.37688872,0.26010907,0.6466851,0.2791875,0.27646148,0.3156588,0.7305888,0.24207418,0.2835456,0.46852547,0.5149425,0.4655604,0.42187363,0.67622274,0.5098935,0.675518,0.42141196,0.85985136,0.48469085,0.89228714,0.40970808,neutral
0.14981166,0.46484876,0.17667131,0.55376816,0.19521365,0.38003525,0.2561402,0.6467304,0.28123927,0.27383044,0.31087053,0.73587084,0.24127734,0.29043156,0.4638589,0.51415586,0.46149382,0.4199811,0.6692376,0.50613135,0.67000765,0.4162241,0.856827,0.48216975,0.8873954,0.39775008,neutral
0.17059872,0.47733828,0.18481576,0.5493991,0.20208678,0.37043715,0.25878984,0.6441216,0.2872675,0.28062373,0.31007633,0.73385966,0.26784003,0.28379032,0.46950334,0.5144142,0.4683326,0.41339213,0.67144984,0.4981644,0.6754891,0.40627083,0.84924364,0.47941658,0.88677466,0.38974428,neutral
