nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.13690597,0.32590875,0.21482985,0.32403344,0.21529715,0.42666394,0.3720115,0.27598134,0.3575506,0.36325097,0.38196242,0.1566082,0.40545207,0.25754124,0.4932673,0.46174645,0.47803685,0.55606914,0.6248964,0.29849455,0.708817,0.63751894,0.86407703,0.3379123,0.8741388,0.8170991,backhand-volley
0.14268525,0.32239234,0.21581864,0.3146012,0.21673942,0.41756544,0.38295174,0.26644698,0.3741091,0.36412045,0.3931298,0.12817669,0.42211962,0.22022031,0.4901782,0.46134338,0.47474527,0.55547494,0.6334722,0.29909378,0.7120441,0.6361258,0.8845467,0.35176122,0.8787861,0.8285494,backhand-volley
0.13429317,0.31644186,0.21164738,0.31805307,0.21068132,0.41527605,0.3767571,0.2705114,0.36073607,0.36918187,0.3761084,0.11226714,0.43462372,0.22406684,0.48472977,0.46957168,0.46875268,0.56929994,0.6384812,0.30212605,0.7184942,0.6541213,0.88518465,0.3737646,0.87284344,0.8431252,backhand-volley
0.14154516,0.3073316,0.21526572,0.32543254,0.21988076,0.41100273,0.37351215,0.25258633,0.38116786,0.33799213,0.393471,0.10310142,0.4622198,0.20401493,0.48463237,0.48258442,0.47124466,0.5757024,0.6414975,0.316284,0.7169726,0.65223837,0.8909843,0.39273024,0.86187667,0.8585345,backhand-volley
0.13854906,0.3067313,0.20502916,0.3268282,0.21132217,0.4018997,0.37581918,0.26028666,0.38943923,0.31606403,0.3809625,0.10694634,0.4653057,0.18838441,0.47982842,0.49775934,0.46862027,0.5813341,0.6332313,0.31904748,0.7177855,0.6521218,0.8836781,0.41347036,0.85082376,0.87352943,backhand-volley
0.13950276,0.29783952,0.20868997,0.3113379,0.21444446,0.39373517,0.3498847,0.21145752,0.3951865,0.33963224,0.3666135,0.08470008,0.47900027,0.18266898,0.48044008,0.4931048,0.46950138,0.5785197,0.63478196,0.32104802,0.72291553,0.63983196,0.8881711,0.4209505,0.842569,0.8722403,backhand-volley
0.15770164,0.27320683,0.22238827,0.30010605,0.23153335,0.38119158,0.33975026,0.18184827,0.39812225,0.34177238,0.36402857,0.08127016,0.5065826,0.16373229,0.47728288,0.48522913,0.46618688,0.5655917,0.62560457,0.3237003,0.7147443,0.5973575,0.86827797,0.43523282,0.80355537,0.8242373,backhand-volley
0.15206943,0.27862626,0.21299866,0.32910144,0.22515407,0.40917927,0.31925118,0.20577246,0.43245518,0.30588377,0.34567547,0.11925267,0.51843303,0.2021809,0.4637774,0.52214634,0.45164713,0.61132234,0.64132,0.35878414,0.72718877,0.614114,0.87691706,0.4799349,0.80485195,0.8553173,backhand-volley
0.1361885,0.2716092,0.20370853,0.3059618,0.20705962,0.3997469,0.3145926,0.1689544,0.42051432,0.30840668,0.3276794,0.075792305,0.53200424,0.1965406,0.4516073,0.51733184,0.43376917,0.6162263,0.6448912,0.3595063,0.72525644,0.5977919,0.8895225,0.49861008,0.8045528,0.85174006,backhand-volley
0.14964274,0.2684815,0.19945467,0.34434438,0.20888135,0.41381297,0.2923092,0.21020047,0.421642,0.34070164,0.32124913,0.13816766,0.54321694,0.23501909,0.44378382,0.55047154,0.4333679,0.6456444,0.65096605,0.38578218,0.72188085,0.5977783,0.8890709,0.54020405,0.7996496,0.84717196,backhand-volley
0.12507823,0.24421212,0.1792596,0.34677857,0.21217734,0.37434077,0.25456882,0.19651262,0.4085077,0.3297508,0.28915915,0.13252139,0.5625135,0.23348925,0.4279862,0.54437304,0.4196427,0.62253535,0.6442006,0.38718244,0.7141061,0.5737015,0.8888912,0.5496011,0.7946936,0.82942796,backhand-volley
