nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.12652217,0.6325275,0.19396949,0.5339334,0.21547428,0.6169131,0.31645483,0.5268272,0.3247056,0.7088141,0.2903035,0.6566345,0.31065944,0.83219236,0.47262284,0.45296645,0.48082495,0.528793,0.67943466,0.38150188,0.665962,0.6734226,0.8367753,0.20795426,0.88411874,0.5899529,forehand-volley
0.13578959,0.6336951,0.19478099,0.52803934,0.21811722,0.6170537,0.29193252,0.59758574,0.32400668,0.7188372,0.29455015,0.6673268,0.3026232,0.84302425,0.47253498,0.4467871,0.48165748,0.52456,0.680829,0.38016173,0.6703094,0.6624824,0.8391568,0.2086761,0.88584584,0.5743652,forehand-volley
0.1437817,0.61799943,0.19662963,0.51205003,0.22040403,0.61629546,0.27395594,0.5870619,0.29879963,0.7180803,0.2569319,0.65155566,0.28827363,0.87154573,0.46777076,0.42682064,0.4805615,0.51308906,0.6794858,0.37793946,0.67710495,0.637606,0.8359873,0.20800291,0.8756293,0.55116117,forehand-volley
0.1276263,0.6010959,0.18604699,0.48263294,0.21764171,0.5887215,0.27026615,0.5829299,0.28883216,0.69214225,0.26157898,0.64744616,0.2753063,0.83327174,0.4662614,0.40063244,0.4792534,0.490587,0.6803221,0.35007983,0.67905366,0.60720974,0.8398254,0.18542403,0.88013214,0.5123611,forehand-volley
0.14520031,0.60482526,0.19199723,0.49112722,0.22087839,0.5934675,0.28656194,0.5713706,0.2870338,0.71401393,0.2610828,0.6672041,0.2698208,0.8608934,0.46812722,0.41071066,0.47805935,0.49026343,0.6811282,0.36916077,0.6849307,0.60133517,0.85069793,0.20157133,0.8866687,0.5064705,forehand-volley
0.12659304,0.5753991,0.1834303,0.4677044,0.21293813,0.5738827,0.23690198,0.58000696,0.27162415,0.704431,0.2608169,0.67575777,0.2647466,0.837518,0.46619627,0.38979,0.47425652,0.47634587,0.678125,0.35176957,0.6909761,0.57387877,0.85440123,0.18836951,0.8866932,0.4753325,forehand-volley
0.14127281,0.5740777,0.1881169,0.46690744,0.21552294,0.571347,0.25124976,0.58806646,0.2706915,0.6940464,0.2578808,0.6752007,0.26444107,0.8320075,0.46199605,0.3811732,0.47308838,0.48062998,0.6732864,0.36103708,0.6987897,0.5597695,0.84864163,0.22321294,0.8940794,0.4648913,forehand-volley
0.1341742,0.5788199,0.17891972,0.45311508,0.2112163,0.55893254,0.25168252,0.56501627,0.26225457,0.6687283,0.20373897,0.6623241,0.26028055,0.8240752,0.4552151,0.37023282,0.46365568,0.46249968,0.6690587,0.35296294,0.68367594,0.53094184,0.846501,0.2162746,0.88306224,0.432762,forehand-volley
0.14207833,0.5691306,0.17671287,0.4406049,0.2134,0.5523426,0.24585065,0.5691141,0.25684848,0.6632132,0.054257117,0.6016556,0.26711074,0.8123338,0.45851737,0.3614708,0.47068247,0.4591831,0.6665455,0.35965645,0.6836946,0.51145005,0.8714659,0.22808765,0.8879231,0.41635293,forehand-volley
0.17681597,0.5524824,0.22881135,0.43854648,0.26334396,0.5549441,0.31524354,0.53503597,0.3257371,0.6887533,0.27616894,0.62422097,0.3065319,0.79554117,0.4884581,0.36701685,0.5000042,0.45677173,0.6777122,0.36280963,0.69854414,0.4932265,0.8729312,0.26644766,0.9002459,0.39519513,forehand-volley
